dvd_created_at,dvd_ph,dvd_do,dvd_tds,dvd_temp,dvd_ammonia
"2023-08-01 12:23:52.000000",7.18,7.524,259.28,33.39,0.01528
"2023-08-01 12:07:31.000000",7.06,7.899,258.0,33.29,0.01156
"2023-08-01 11:51:15.000000",7.02,7.743,256.73,33.29,0.01055
"2023-08-01 11:34:54.000000",7.02,7.743,258.0,33.29,0.01055
"2023-08-01 11:02:12.000000",7.22,7.212,256.73,33.11,0.01642
"2023-08-01 10:45:53.000000",7.26,6.795,255.46,33.11,0.01798
"2023-08-01 10:29:35.000000",7.18,6.973,255.46,33.11,0.015
"2023-08-01 10:13:17.000000",7.18,6.983,255.46,33.02,0.01491
"2023-08-01 09:56:58.000000",7.22,6.489,255.46,33.11,0.01642
"2023-08-01 09:40:40.000000",7.22,6.489,256.73,33.11,0.01642
"2023-08-01 09:24:22.000000",7.22,6.489,255.46,33.11,0.01642
"2023-08-01 09:08:04.000000",7.18,6.577,255.46,33.11,0.015
"2023-08-01 08:51:46.000000",7.22,6.096,255.46,33.11,0.01642
"2023-08-01 08:35:29.000000",7.38,5.882,255.46,33.11,0.02356
"2023-08-01 08:19:12.000000",7.26,6.026,255.46,33.11,0.01798
"2023-08-01 07:46:40.000000",7.38,5.548,254.2,33.02,0.02343
"2023-08-01 07:30:24.000000",7.42,5.521,254.2,33.11,0.02578
"2023-08-01 07:14:14.000000",7.5,5.492,255.46,33.11,0.03083
"2023-08-01 06:57:52.000000",7.54,5.178,255.46,33.2,0.0339
"2023-08-01 06:41:36.000000",7.5,5.208,256.73,33.2,0.03101
"2023-08-01 06:25:21.000000",7.54,5.178,256.73,33.2,0.0339
"2023-08-01 06:09:06.000000",7.58,5.143,256.73,33.2,0.03705
"2023-08-01 05:52:49.000000",7.62,4.917,256.73,33.2,0.04048
"2023-08-01 05:36:34.000000",7.74,4.964,256.73,33.2,0.05269
"2023-08-01 05:20:18.000000",7.74,4.964,256.73,33.2,0.05269
"2023-08-01 05:04:03.000000",7.7,4.928,256.73,33.2,0.04828
"2023-08-01 04:47:47.000000",7.74,4.839,256.73,33.2,0.05269
"2023-08-01 04:31:32.000000",7.74,4.83,256.73,33.29,0.05299
"2023-08-01 04:15:17.000000",7.74,4.83,258.0,33.29,0.05299
"2023-08-01 03:59:01.000000",7.78,4.825,258.0,33.29,0.05781
"2023-08-01 03:42:46.000000",7.74,4.767,258.0,33.29,0.05299
"2023-08-01 03:26:31.000000",7.74,4.767,258.0,33.29,0.05299
"2023-08-01 03:10:15.000000",7.74,4.757,258.0,33.39,0.05333
"2023-08-01 02:54:00.000000",7.74,4.744,258.0,33.39,0.05333
"2023-08-01 02:37:45.000000",7.74,4.744,259.28,33.39,0.05333
"2023-08-01 02:21:29.000000",7.82,4.884,259.28,33.39,0.06343
"2023-08-01 02:05:14.000000",7.94,5.237,259.28,33.39,0.08196
"2023-08-01 01:49:00.000000",7.98,5.381,259.28,33.39,0.08916
"2023-08-01 01:32:43.000000",8.06,5.447,259.28,33.48,0.10587
"2023-08-01 01:16:29.000000",8.02,5.429,260.56,33.48,0.09746
"2023-08-01 01:00:13.000000",8.06,5.447,260.56,33.48,0.10587
"2023-08-01 00:43:58.000000",8.1,5.498,260.56,33.58,0.11559
"2023-08-01 00:27:46.000000",8.06,5.477,260.56,33.58,0.1065
"2023-08-01 00:11:27.000000",8.14,5.519,261.85,33.58,0.12534
"2023-07-31 23:55:12.000000",8.18,5.703,261.85,33.67,0.1365
"2023-07-31 22:17:16.000000",8.27,5.833,267.04,34.04,0.1662
"2023-07-31 21:44:38.000000",8.43,6.083,269.66,34.14,0.22484
"2023-07-31 21:28:22.000000",8.35,6.042,269.66,34.23,0.1953
"2023-07-31 21:12:07.000000",8.43,6.076,270.97,34.23,0.22588
"2023-07-31 20:55:51.000000",8.47,6.333,270.97,34.33,0.24361
"2023-07-31 20:39:37.000000",8.55,6.353,272.29,34.42,0.28034
"2023-07-31 20:23:19.000000",8.67,6.384,273.62,34.42,0.33929
"2023-07-31 20:07:03.000000",8.79,6.397,273.62,34.52,0.40528
