LocationID;Date;Time;;Parameter;Method;;Value;Unit;Comment
IND00073;2020-11-30;23:00;0.3;pH;0;;7.9;---;Unknown
IND00073;2020-11-30;23:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00073;2020-02-02;23:00;0.3;O2-Dis;0;;8.0;mg/l;Unknown
IND00073;2018-04-01;22:00;0.3;BOD;0;;1.2;mg/l;Unknown
IND00073;2019-04-03;22:00;0.3;pH;0;;7.7;---;Unknown
IND00073;2020-04-30;22:00;0.3;TURB;0;;0.6;NTU;Unknown
IND00073;2020-04-30;22:00;0.3;O2-Dis;0;;7.5;mg/l;Unknown
IND00073;2019-03-04;23:00;0.3;pH;0;;6.1;---;Unknown
IND00073;2019-03-04;23:00;0.3;O2-Dis;0;;7.4;mg/l;Unknown
IND00073;2019-06-02;22:00;0.3;O2-Dis;0;;6.8;mg/l;Unknown
IND00073;2019-06-02;22:00;0.3;pH;0;;7.9;---;Unknown
IND00073;2019-04-30;22:00;0.3;O2-Dis;0;;7.7;mg/l;Unknown
IND00073;2019-10-02;22:00;0.3;O2-Dis;0;;7.2;mg/l;Unknown
IND00073;2019-10-02;22:00;0.3;pH;0;;7.8;---;Unknown
IND00073;2020-01-01;23:00;0.3;BOD;0;;0.5;mg/l;Unknown
IND00073;2018-05-31;22:00;0.3;BOD;0;;1.3;mg/l;Unknown
IND00073;2018-02-28;23:00;0.3;O2-Dis;0;;8.0;mg/l;Unknown
IND00073;2018-08-31;22:00;0.3;O2-Dis;0;;6.1;mg/l;Unknown
IND00073;2020-06-30;22:00;0.3;pH;0;;8.2;---;Unknown
IND00073;2020-06-30;22:00;0.3;TURB;0;;0.4;NTU;Unknown
IND00073;2020-08-31;22:00;0.3;TURB;0;;5.8;NTU;Unknown
IND00073;2018-09-30;22:00;0.3;pH;0;;8.22;---;Unknown
IND00073;2017-12-31;23:00;0.3;pH;0;;8.15;---;Unknown
IND00073;2017-12-31;23:00;0.3;BOD;0;;1.6;mg/l;Unknown
IND00073;2018-12-31;23:00;0.3;pH;0;;8.0;---;Unknown
IND00073;2018-07-01;22:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00073;2020-03-01;23:00;0.3;TURB;0;;0.4;NTU;Unknown
IND00073;2020-03-01;23:00;0.3;pH;0;;8.3;---;Unknown
IND00073;2018-02-28;23:00;0.3;pH;0;;7.76;---;Unknown
IND00073;2021-03-01;23:00;0.3;O2-Dis;0;;7.0;mg/l;Unknown
IND00073;2020-11-30;23:00;0.3;TURB;0;;5.0;NTU;Unknown
IND00073;2018-05-31;22:00;0.3;O2-Dis;0;;5.5;mg/l;Unknown
IND00073;2018-05-31;22:00;0.3;pH;0;;7.75;---;Unknown
IND00073;2020-04-30;22:00;0.3;BOD;0;;0.6;mg/l;Unknown
IND00073;2019-04-30;22:00;0.3;pH;0;;7.9;---;Unknown
IND00073;2018-07-31;22:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00073;2020-06-30;22:00;0.3;BOD;0;;0.8;mg/l;Unknown
IND00073;2020-06-30;22:00;0.3;O2-Dis;0;;5.3;mg/l;Unknown
IND00073;2019-11-01;23:00;0.3;O2-Dis;0;;7.7;mg/l;Unknown
IND00073;2018-10-31;23:00;0.3;BOD;0;;1.2;mg/l;Unknown
IND00073;2019-09-03;22:00;0.3;pH;0;;7.7;---;Unknown
IND00073;2018-01-31;23:00;0.3;O2-Dis;0;;8.4;mg/l;Unknown
IND00073;2018-01-31;23:00;0.3;pH;0;;7.81;---;Unknown
IND00073;2019-01-31;23:00;0.3;pH;0;;8.2;---;Unknown
IND00073;2019-01-31;23:00;0.3;O2-Dis;0;;7.6;mg/l;Unknown
IND00073;2019-11-01;23:00;0.3;pH;0;;8.2;---;Unknown
IND00073;2020-11-01;23:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00073;2020-11-01;23:00;0.3;BOD;0;;0.7;mg/l;Unknown
IND00073;2020-05-31;22:00;0.3;O2-Dis;0;;7.3;mg/l;Unknown
IND00073;2020-05-31;22:00;0.3;TURB;0;;0.2;NTU;Unknown
IND00073;2020-08-31;22:00;0.3;BOD;0;;0.8;mg/l;Unknown
IND00073;2020-03-01;23:00;0.3;BOD;0;;0.8;mg/l;Unknown
IND00073;2018-02-28;23:00;0.3;BOD;0;;1.1;mg/l;Unknown
IND00073;2018-07-01;22:00;0.3;BOD;0;;1.3;mg/l;Unknown
IND00073;2020-01-01;23:00;0.3;pH;0;;8.1;---;Unknown
IND00073;2020-01-01;23:00;0.3;O2-Dis;0;;7.8;mg/l;Unknown
IND00073;2019-07-31;22:00;0.3;O2-Dis;0;;7.4;mg/l;Unknown
IND00073;2019-07-31;22:00;0.3;pH;0;;7.8;---;Unknown
IND00073;2018-11-30;23:00;0.3;pH;0;;8.0;---;Unknown
IND00073;2019-12-02;23:00;0.3;O2-Dis;0;;7.6;mg/l;Unknown
IND00073;2019-12-02;23:00;0.3;pH;0;;8.3;---;Unknown
IND00073;2020-04-02;22:00;0.3;TURB;0;;0.6;NTU;Unknown
IND00073;2020-04-02;22:00;0.3;pH;0;;7.9;---;Unknown
IND00073;2018-04-01;22:00;0.3;O2-Dis;0;;9.6;mg/l;Unknown
IND00073;2018-04-01;22:00;0.3;pH;0;;7.85;---;Unknown
IND00073;2019-04-03;22:00;0.3;O2-Dis;0;;6.9;mg/l;Unknown
IND00073;2018-04-30;22:00;0.3;pH;0;;7.99;---;Unknown
IND00073;2018-04-30;22:00;0.3;O2-Dis;0;;6.4;mg/l;Unknown
IND00073;2018-04-30;22:00;0.3;BOD;0;;2.0;mg/l;Unknown
IND00073;2019-01-31;23:00;0.3;BOD;0;;1.1;mg/l;Unknown
IND00073;2020-01-01;23:00;0.3;TURB;0;;0.2;NTU;Unknown
IND00073;2018-11-30;23:00;0.3;O2-Dis;0;;6.7;mg/l;Unknown
IND00073;2018-11-30;23:00;0.3;BOD;0;;1.1;mg/l;Unknown
IND00073;2017-12-31;23:00;0.3;O2-Dis;0;;9.4;mg/l;Unknown
IND00073;2018-12-31;23:00;0.3;BOD;0;;1.1;mg/l;Unknown
IND00073;2019-04-03;22:00;0.3;BOD;0;;1.1;mg/l;Unknown
IND00073;2020-08-31;22:00;0.3;O2-Dis;0;;7.4;mg/l;Unknown
IND00073;2020-08-31;22:00;0.3;pH;0;;7.4;---;Unknown
IND00073;2019-09-03;22:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00073;2021-03-01;23:00;0.3;pH;0;;8.15;---;Unknown
IND00073;2018-10-31;23:00;0.3;O2-Dis;0;;6.4;mg/l;Unknown
IND00073;2018-10-31;23:00;0.3;pH;0;;7.5;---;Unknown
IND00073;2018-09-30;22:00;0.3;BOD;0;;1.4;mg/l;Unknown
IND00073;2020-11-01;23:00;0.3;TURB;0;;2.0;NTU;Unknown
IND00073;2018-07-31;22:00;0.3;pH;0;;8.55;---;Unknown
IND00073;2018-07-31;22:00;0.3;BOD;0;;1.6;mg/l;Unknown
IND00073;2020-11-30;23:00;0.3;BOD;0;;0.8;mg/l;Unknown
IND00073;2020-04-02;22:00;0.3;O2-Dis;0;;6.7;mg/l;Unknown
IND00073;2020-04-02;22:00;0.3;BOD;0;;0.6;mg/l;Unknown
IND00073;2020-03-01;23:00;0.3;O2-Dis;0;;7.7;mg/l;Unknown
IND00073;2019-06-30;22:00;0.3;O2-Dis;0;;7.9;mg/l;Unknown
IND00073;2019-06-30;22:00;0.3;pH;0;;8.4;---;Unknown
IND00073;2020-05-31;22:00;0.3;BOD;0;;0.8;mg/l;Unknown
IND00073;2020-05-31;22:00;0.3;pH;0;;8.2;---;Unknown
IND00073;2018-07-01;22:00;0.3;pH;0;;8.59;---;Unknown
IND00073;2018-12-31;23:00;0.3;O2-Dis;0;;8.4;mg/l;Unknown
IND00073;2020-02-02;23:00;0.3;BOD;0;;0.6;mg/l;Unknown
IND00073;2020-02-02;23:00;0.3;pH;0;;8.2;---;Unknown
IND00073;2020-02-02;23:00;0.3;TURB;0;;0.2;NTU;Unknown
IND00073;2018-01-31;23:00;0.3;BOD;0;;1.5;mg/l;Unknown
IND00073;2020-04-30;22:00;0.3;pH;0;;8.3;---;Unknown
IND00073;2018-09-30;22:00;0.3;O2-Dis;0;;8.0;mg/l;Unknown
IND00073;2020-11-01;23:00;0.3;pH;0;;7.6;---;Unknown
